"WKT"
"MULTILINESTRING ((1400617.3792335498 -706343.94120860007,1400673.2764363743 -706475.98887479282))"
"MULTILINESTRING ((1399210.0794432908 -705369.7142638854,1399040.2970509517 -705449.52238751133))"
"MULTILINESTRING ((1397865.3897834879 -702074.14628664299,1397833.4964222957 -702060.80525055993))"
"MULTILINESTRING ((1400619.271025911 -708441.99583592871,1400626.2510465868 -708476.60882411164))"
"MULTILINESTRING ((1398991.3198908726 -704938.96025084471,1398979.2232745334 -704956.58535219124))"
"MULTILINESTRING ((1399967.2304436255 -704650.18671364011,1399720.3918340683 -704671.94556025637))"
"MULTILINESTRING ((1399927.144310117 -704464.48213832034,1399693.2373673783 -704486.28695030115))"
"MULTILINESTRING ((1398479.4495986097 -703994.95084450941,1398426.9971394283 -704003.34370518778))"
"MULTILINESTRING ((1398242.195746067 -701969.3313670581,1398300.8215523404 -702069.08978523861))"
"MULTILINESTRING ((1399148.4629936141 -705784.50430812943,1399053.9625481339 -705747.59150164074))"
"MULTILINESTRING ((1398802.9136310758 -704099.9332438244,1398778.9141500758 -704084.61916364171))"
"MULTILINESTRING ((1397448.2791695693 -703675.9360818615,1397366.9890303779 -703816.05412073934))"
"MULTILINESTRING ((1403923.8886888959 -713462.0176837059,1403872.1585507081 -713350.91301893187))"
"MULTILINESTRING ((1402560.9587219979 -712615.53289479401,1402508.9705246456 -712607.74055045308))"
"MULTILINESTRING ((1398336.7865145069 -708294.9333541228,1398361.0147024721 -708387.55830988893))"
"MULTILINESTRING ((1399424.0461773234 -705222.29377069825,1399473.1208327475 -705188.16296431946))"
"MULTILINESTRING ((1400401.4894786421 -707258.68694742548,1400393.7733591006 -707134.64986024669))"
"MULTILINESTRING ((1399500.5467155471 -709295.85500766814,1399499.4252187873 -709476.46244294243,1399331.6485843805 -709526.89446171478,1399279.0831585978 -709475.03117292165))"
"MULTILINESTRING ((1409710.9830341588 -729056.21737908502,1409688.6386478133 -728997.68791474635))"
"MULTILINESTRING ((1398555.8610416858 -705787.172811436,1398589.342934767 -705759.80122250237))"
"MULTILINESTRING ((1396239.0369264598 -702685.43628901034,1396168.2849845439 -702744.1369510066))"
"MULTILINESTRING ((1397642.437464006 -704775.5628085651,1397582.288744377 -704806.77974959672))"
"MULTILINESTRING ((1399331.5581606424 -704436.42950454238,1399372.4961340169 -704518.72837591334))"
"MULTILINESTRING ((1401609.8360324532 -710356.24450076662,1401614.0693259863 -710426.33579909336))"
"MULTILINESTRING ((1398353.6826924374 -702234.56670983124,1398379.1067707306 -702437.1500461133,1398249.4809900718 -702471.43908058188))"
"MULTILINESTRING ((1400194.0398356586 -711279.82607879746,1400134.5653563633 -711071.94901059091))"
"MULTILINESTRING ((1401945.7019146683 -710714.11399575148,1401968.8215928292 -710684.23768938682))"
"MULTILINESTRING ((1401197.8355270582 -707949.89362571796,1401186.2700441708 -708018.74332773371,1401087.2582559744 -708045.85787626624))"
"MULTILINESTRING ((1398439.1202441829 -706391.89697575499,1398489.9591753259 -706465.16015158256))"
"MULTILINESTRING ((1400801.637159582 -710064.83947963349,1400926.6221138632 -710013.45295912167,1400898.4519848339 -709952.25765400182))"
"MULTILINESTRING ((1400246.212245337 -706546.62227071077,1400255.4769634095 -706491.42918141582))"
"MULTILINESTRING ((1400221.0570449543 -712361.99113659398,1400114.3202852246 -712506.40679775144))"
"MULTILINESTRING ((1400767.5051933529 -710360.53093215532,1400697.7616251891 -710324.45659228519))"
"MULTILINESTRING ((1398642.4408968387 -702309.38238414191,1398678.6672193976 -702507.38485423813))"
"MULTILINESTRING ((1397738.6184123177 -704827.6142545864,1397907.5801715278 -704852.71496621717,1397939.0691896414 -704804.60067182919))"
"MULTILINESTRING ((1398178.9929109828 -701723.01226947608,1398183.06865772 -701738.12813993299))"
"MULTILINESTRING ((1399578.2640273988 -704299.82138799352,1399540.7520013009 -704307.33397909056))"
"MULTILINESTRING ((1402292.6400719648 -711671.18943701091,1402404.5786311172 -712107.03719126899,1402572.109343064 -712476.09123767575))"
"MULTILINESTRING ((1400393.7733591006 -707134.64986024669,1400412.1639168162 -707125.60593826266))"
"MULTILINESTRING ((1401440.3376208376 -709050.6980770696,1401364.1834916896 -709145.94234990748,1401385.7993854855 -709304.47614958871))"
"MULTILINESTRING ((1400403.7934603898 -706741.74554370774,1400467.7049885113 -706728.69773736503))"
"MULTILINESTRING ((1399121.5920857391 -701584.92856315267,1399481.5964536886 -702452.26641845552))"
"MULTILINESTRING ((1399802.8381963563 -706099.61001323233,1399849.5637312529 -705997.03468168201,1399830.3930807412 -705916.43156549055,1399701.5808447374 -705970.28111967351,1399615.379125241 -705947.55160736036,1399593.1197278923 -706002.99959761871,1399698.9667345521 -706152.73078586685,1399688.2246850019 -706220.98522839474,1399755.5888500956 -706224.49865400314,1399802.8381963563 -706099.61001323233))"
"MULTILINESTRING ((1400997.4470712536 -707082.01836170943,1401099.679703559 -707110.63162794674))"
"MULTILINESTRING ((1400782.9866323601 -709505.01023180853,1400959.380039287 -709775.11960733682))"
"MULTILINESTRING ((1400179.6478353662 -706776.96640882897,1400215.0979598681 -706795.22412894829))"
"MULTILINESTRING ((1400392.9378285452 -709872.67647078307,1400325.8617733771 -709781.2423811421,1400253.2403844658 -709770.60140779824))"
"MULTILINESTRING ((1400006.8545415292 -710370.14432557765,1400154.6493057793 -710293.73641146813))"
"MULTILINESTRING ((1401921.350536993 -710935.03016829549,1402007.1374375112 -710942.75982222776))"
